FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
25-Apr-2024,CE,105.0,0.0,20.7,20.7,8000,0.0,208000,20.7,31.65,10-Apr-2024,0,0.0,0.0,0.0,0.043835616438356165,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,110.0,-24000.0,26.45,26.5,8000,23.9,712000,22.2,26.45,10-Apr-2024,64000,8677600.0,26.6,23.9,0.043835616438356165,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,115.0,-16000.0,21.55,21.55,8000,19.15,680000,17.95,21.55,10-Apr-2024,88000,11937200.0,22.1,19.0,0.043835616438356165,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,120.0,-40000.0,16.8,17.0,8000,14.15,2472000,13.65,16.8,10-Apr-2024,664000,89914400.0,17.3,13.6,0.043835616438356165,0.3677090178094942,0.9579203126540206,0.008556847833048307,-0.04814464126540808,0.025623409635847093
25-Apr-2024,CE,125.0,-280000.0,12.3,12.2,8000,9.65,2576000,9.4,12.3,10-Apr-2024,1216000,165619200.0,12.7,9.2,0.043835616438356165,0.3781326553126718,0.8781852129443894,0.01873490863859077,-0.08582667690140916,0.05769186702759327
25-Apr-2024,CE,130.0,-1432000.0,8.25,8.25,8000,6.1,8728000,6.0,8.25,10-Apr-2024,14352000,1971504800.0,8.7,5.75,0.043835616438356165,0.3694894416398477,0.7531436699270463,0.029935149628256226,-0.11952341222445904,0.09007459038650584
25-Apr-2024,CE,135.0,-5552000.0,5.1,5.0,8000,3.55,14840000,3.6,5.1,10-Apr-2024,53688000,7486006400.0,5.55,3.4,0.043835616438356165,0.37314328560284227,0.5774593291044658,0.03675650853061144,-0.1423428892756928,0.11169370894894587
25-Apr-2024,CE,140.0,-528000.0,3.0,3.0,8000,2.1,24672000,2.05,3.0,10-Apr-2024,52912000,7552757600.0,3.4,1.9,0.043835616438356165,0.3880087125202519,0.3987022842655081,0.0348617706809328,-0.1420076038979294,0.11015640375924084
25-Apr-2024,CE,145.0,200000.0,1.7,1.7,8000,1.15,10800000,1.1,1.7,10-Apr-2024,17168000,2515818800.0,1.95,1.0,0.043835616438356165,0.4045763116493897,0.2555680835852382,0.027845110876814662,-0.12143618097322527,0.09174200603868671
25-Apr-2024,CE,150.0,96000.0,1.0,1.0,8000,0.7,11264000,0.65,1.0,10-Apr-2024,31136000,4696534000.0,1.15,0.6,0.043835616438356165,0.42976280587441446,0.16103484996227307,0.019922963652251782,-0.09708778528811789,0.06972709935646276
25-Apr-2024,CE,155.0,-336000.0,0.6,0.55,8000,0.4,4816000,0.4,0.6,10-Apr-2024,12920000,2009094000.0,0.7,0.35,0.043835616438356165,0.45495345427875084,0.10124394324074404,0.013639957937344913,-0.07401797636345653,0.05053576306572816
