FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
28-Mar-2024,CE,85.0,0.0,35.5,35.5,8000,0.0,56000,35.5,37.75,27-Mar-2024,0,0.0,0.0,0.0,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,90.0,112000.0,34.2,34.2,8000,34.3,1008000,33.45,32.75,27-Mar-2024,128000,15943600.0,34.7,34.2,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,95.0,0.0,29.6,29.6,8000,29.6,32000,21.6,27.75,27-Mar-2024,24000,2990400.0,29.6,29.6,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,100.0,-16000.0,24.5,24.5,8000,24.45,464000,24.3,22.75,27-Mar-2024,96000,11948400.0,24.7,24.3,0.005479452054794521,0.0,1.0,0.0,0.0,0.0
28-Mar-2024,CE,105.0,0.0,19.0,19.0,8000,19.0,184000,11.9,17.75,27-Mar-2024,32000,3968000.0,19.0,19.0,0.005479452054794521,1.9808777327539155,0.8730116622556348,0.011563506463638698,-0.9510296059054751,0.01891155980029741
28-Mar-2024,CE,110.0,-96000.0,13.25,13.3,8000,14.9,1336000,14.25,13.25,27-Mar-2024,256000,31803200.0,15.0,13.15,0.005479452054794521,1.1542224167067192,0.9082673558309706,0.015704562418860066,-0.44799112283794346,0.014965646323307689
28-Mar-2024,CE,115.0,-448000.0,8.0,8.0,8000,9.8,1616000,9.4,8.0,27-Mar-2024,1000000,124300800.0,9.8,8.0,0.005479452054794521,0.638733247807091,0.9207230669369311,0.025440137768465355,-0.23149254748139578,0.01341587844312283
28-Mar-2024,CE,120.0,-920000.0,3.15,3.15,8000,5.0,2816000,4.5,3.15,27-Mar-2024,5904000,733882400.0,5.1,2.8,0.005479452054794521,0.3652096445578411,0.8061532973724239,0.0827847369839443,-0.2436543637255207,0.024961612908888858
28-Mar-2024,CE,125.0,-3952000.0,0.25,0.25,8000,0.7,9744000,0.7,0.25,27-Mar-2024,28480000,3574939600.0,0.9,0.15,0.005479452054794521,0.2691505795792302,0.18801733542214033,0.11024593879709065,-0.1685968229004064,0.024498418662281116
28-Mar-2024,CE,130.0,-3560000.0,0.05,0.05,8000,0.1,13112000,0.15,0.05,27-Mar-2024,10600000,1378824000.0,0.15,0.05,0.005479452054794521,0.41814687710378845,0.03378570145293008,0.0197556336407758,-0.07197011162333955,0.006820244659907
28-Mar-2024,CE,135.0,-1072000.0,0.05,0.05,8000,0.05,8520000,0.1,0.05,27-Mar-2024,3616000,488343200.0,0.1,0.05,0.005479452054794521,0.6368012616716732,0.023435644420674764,0.009567178279359111,-0.08054241289490782,0.0050299991870895126
28-Mar-2024,CE,140.0,-280000.0,0.05,0.05,8000,0.05,10648000,0.05,0.05,27-Mar-2024,648000,90752400.0,0.05,0.05,0.005479452054794521,0.8367722189158344,0.018462016337257307,0.005949393830115131,-0.08634627394746748,0.004110173024332629
28-Mar-2024,CE,145.0,0.0,0.05,0.05,8000,0.05,2736000,0.05,0.05,27-Mar-2024,40000,5802000.0,0.05,0.05,0.005479452054794521,1.023077814411035,0.01548510826547592,0.004186730467010458,-0.09075505435051284,0.003536419711860776
