FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,CALCULATED_PREMIUM_VAL,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
25-Aug-2022,20.0,CE,0.0,0.0,0.0,10.65,0.0,10.65,14.2,0,0,0,0,16000,18-Aug-2022,0,0.021917808219178082,0.0,1.0,0.0,0.0,0.0
25-Aug-2022,25.0,CE,0.0,0.0,0.0,9.45,9.45,9.45,9.2,0,0,128000,0,16000,18-Aug-2022,0,0.021917808219178082,1.55448862983061,0.9300288465828722,0.017078813397678534,-0.0695987329680237,0.006786155107040415
25-Aug-2022,30.0,CE,4.55,4.85,4.35,4.45,4.45,4.65,4.2,320000,11066400,1616000,-80000,16000,18-Aug-2022,1466400,0.021917808219178082,0.8034082674610769,0.8769435211806005,0.05012686434045339,-0.055880813164787824,0.010294028670407842
25-Aug-2022,35.0,CE,0.7,0.85,0.45,0.5,0.45,0.65,0.5,43952000,1565389600,24000000,432000,16000,18-Aug-2022,27069600,0.021917808219178082,0.41249208307793,0.36297317623173364,0.17989749223107118,-0.050856110475213635,0.01896790061771282
25-Aug-2022,40.0,CE,0.1,0.1,0.05,0.1,0.1,0.1,0.1,1824000,73080000,13376000,-832000,16000,18-Aug-2022,120000,0.021917808219178082,0.687072370745932,0.06802492145059826,0.037809438324606946,-0.0288798010971453,0.006640201354972879
25-Aug-2022,45.0,CE,0.05,0.05,0.05,0.05,0.05,0.05,0.0,16000,720800,1328000,0,16000,18-Aug-2022,800,0.021917808219178082,0.941090422771655,0.02864079934700646,0.013760487851349023,-0.019622074915374287,0.0033101198875331002
