FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
29-Nov-2018,45,CE,0.0,0.0,0.0,40.95,0.0,40.95,25.65,0,0,0,0,5500,12-Nov-2018,0.049315068493150684,0.0,1.0,0.0,0.0,0.0
29-Nov-2018,50,CE,0.0,0.0,0.0,36.1,0.0,36.1,20.7,0,0,0,0,5500,12-Nov-2018,0.049315068493150684,0.0,1.0,0.0,0.0,0.0
29-Nov-2018,55,CE,0.0,0.0,0.0,12.15,12.15,12.15,15.75,0,0,5500,0,5500,12-Nov-2018,0.049315068493150684,0.0,1.0,0.0,0.0,0.0
29-Nov-2018,60,CE,11.35,11.35,10.45,11.25,11.25,12.05,11.25,38500,2729100,330000,0,5500,12-Nov-2018,0.049315068493150684,0.6423063232130666,0.8892751910514922,0.01878728792611497,-0.06122856888127614,0.029577683903853416
29-Nov-2018,65,CE,7.5,7.55,5.95,6.5,6.3,7.75,6.5,302500,21630675,709500,11000,5500,12-Nov-2018,0.049315068493150684,0.4631028046698388,0.8078514951719091,0.03768709163700499,-0.06332415007630544,0.042778732191328134
29-Nov-2018,70,CE,3.85,4.05,2.6,3.05,3.0,4.05,3.05,3157000,230625175,2794000,385000,5500,12-Nov-2018,0.049315068493150684,0.4317046597307908,0.5608167716974435,0.058338936926967976,-0.08002448283934227,0.06173097294863308
29-Nov-2018,75,CE,1.8,1.85,1.1,1.3,1.2,1.9,1.3,5324000,406459625,5362500,187000,5500,12-Nov-2018,0.049315068493150684,0.4603472673183726,0.2997212123091719,0.04822232770588259,-0.07283822210310706,0.05441161471218358
29-Nov-2018,80,CE,0.95,0.95,0.5,0.6,0.6,0.9,0.6,3696000,298117325,6292000,-22000,5500,12-Nov-2018,0.049315068493150684,0.5117150405600291,0.15160261181868823,0.029310105846373752,-0.053913451914058955,0.03676236507390579
29-Nov-2018,85,CE,0.45,0.45,0.3,0.35,0.35,0.45,0.35,1232000,105144875,3415500,-27500,5500,12-Nov-2018,0.049315068493150684,0.5833444190466865,0.08751491652521742,0.017414109514448224,-0.04130326086049862,0.02489913117743066
29-Nov-2018,90,CE,0.25,0.25,0.2,0.25,0.2,0.25,0.25,550000,49621825,2942500,-16500,5500,12-Nov-2018,0.049315068493150684,0.6641294335842834,0.05914906374315223,0.011329277148248324,-0.034666635024428856,0.018442203243815302
29-Nov-2018,95,CE,0.15,0.15,0.1,0.1,0.1,0.2,0.1,33000,3139125,935000,-11000,5500,12-Nov-2018,0.049315068493150684,0.6625968329969263,0.026596075142206292,0.005933530717206267,-0.018028258397617628,0.009636524400017278
29-Nov-2018,100,CE,0.1,0.15,0.1,0.1,0.1,0.1,0.1,319000,31932175,1452000,110000,5500,12-Nov-2018,0.049315068493150684,0.7558966706046762,0.02380390834517447,0.004739487947812722,-0.018697334896411906,0.008781156762706594
29-Nov-2018,105,CE,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0,0,16500,0,5500,12-Nov-2018,0.049315068493150684,1.0672370928495285,0.06059511292180026,0.007184731661545114,-0.05635348894640812,0.018794437765125314
29-Nov-2018,110,CE,0.05,0.05,0.05,0.05,0.05,0.05,0.05,60500,6658025,165000,-11000,5500,12-Nov-2018,0.049315068493150684,0.8425407507493125,0.011655583294187245,0.0023087737183194665,-0.011285685627158868,0.004767933176108885
