FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
23-Feb-2023,45.0,CE,7.2,7.4,7.05,7.4,7.4,7.75,6.85,64000,3340800,256000,-16000,16000,06-Feb-2023,0.049315068493150684,0.7282686298221793,0.8215750766827588,0.031391972306263206,-0.06598198655350533,0.02978626742396503
23-Feb-2023,50.0,CE,3.7,3.8,3.1,3.2,3.2,3.7,3.2,4960000,264812000,5408000,-336000,16000,06-Feb-2023,0.049315068493150684,0.5232465261954755,0.625978400172686,0.06343733582624254,-0.06762112826107275,0.043247117680928905
23-Feb-2023,55.0,CE,1.4,1.45,1.05,1.1,1.1,1.45,1.1,23904000,1343086400,30208000,1408000,16000,06-Feb-2023,0.049315068493150684,0.5197594139526881,0.30742995495024994,0.05924914995965625,-0.06034497678691631,0.04012271996537013
23-Feb-2023,60.0,CE,0.45,0.55,0.4,0.45,0.45,0.55,0.45,16272000,983591200,36368000,1504000,16000,06-Feb-2023,0.049315068493150684,0.5927130769887662,0.13850155384178636,0.032658946109047696,-0.04261982892872974,0.025220433892828867
23-Feb-2023,65.0,CE,0.15,0.2,0.15,0.2,0.15,0.2,0.2,3152000,205356000,11456000,-1008000,16000,06-Feb-2023,0.049315068493150684,0.6565843447392418,0.06465928999501243,0.016849361012843234,-0.02680207432841904,0.014413844670100207
