FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
29-Jan-2015,140,CE,0,0,0,234.25,0,234.25,79.55,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,160,CE,0,0,0,62.25,62.5,62.25,59.7,0,0,2500,0,1250,30-Dec-2014
29-Jan-2015,170,CE,0,0,0,57.9,0,57.9,49.8,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,175,CE,0,0,0,53.1,0,53.1,44.9,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,180,CE,0,0,0,43,43,43,40,0,0,1250,0,1250,30-Dec-2014
29-Jan-2015,185,CE,0,0,0,43.75,0,43.75,35.25,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,190,CE,0,0,0,39.3,0,39.3,30.6,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,195,CE,0,0,0,35,0,35,26.1,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,200,CE,21,26.7,21,26.7,26.7,21.9,26.7,3750,842937.5,6250,0,1250,30-Dec-2014
29-Jan-2015,205,CE,0,0,0,27.05,0,27.05,18.05,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,210,CE,0,0,0,15.5,15.5,15.5,14.55,0,0,3750,0,1250,30-Dec-2014
29-Jan-2015,215,CE,0,0,0,13.55,13.55,13.55,11.5,0,0,1250,0,1250,30-Dec-2014
29-Jan-2015,220,CE,8.9,10.5,8,9.3,9.65,9.75,9.3,212500,48665875,140000,62500,1250,30-Dec-2014
29-Jan-2015,225,CE,7,7.95,6,7.15,7.1,7.45,7.15,126250,29290875,118750,26250,1250,30-Dec-2014
29-Jan-2015,230,CE,5,5.95,4.45,5.25,5.6,5.65,5.25,191250,44982000,161250,27500,1250,30-Dec-2014
29-Jan-2015,235,CE,3.75,4.1,3.3,4.1,4.1,4.2,4.1,25000,5966125,41250,15000,1250,30-Dec-2014
29-Jan-2015,240,CE,2.7,3.25,2.4,2.85,2.9,3.1,2.85,141250,34293875,216250,20000,1250,30-Dec-2014
29-Jan-2015,245,CE,1.75,2.1,1.75,2.1,2.1,2.25,2.1,2500,617312.5,10000,0,1250,30-Dec-2014
29-Jan-2015,250,CE,1.4,1.75,1.3,1.65,1.65,1.55,1.65,20000,5029750,25000,-1250,1250,30-Dec-2014
29-Jan-2015,255,CE,0,0,0,4.3,0,4.3,.8,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,260,CE,.8,.8,.8,.8,.8,.85,.8,1250,326000,31250,0,1250,30-Dec-2014
29-Jan-2015,265,CE,0,0,0,.9,.9,.9,.35,0,0,2500,0,1250,30-Dec-2014
29-Jan-2015,270,CE,0,0,0,2.1,0,2.1,.2,0,0,0,0,1250,30-Dec-2014
29-Jan-2015,275,CE,0,0,0,1.6,0,1.6,.15,0,0,0,0,1250,30-Dec-2014
