FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
29-Dec-2016,90,CE,0.0,0.0,0.0,49.15,0.0,49.15,51.0,0,0,0,0,7000,25-Nov-2016,0.0958904109589041,0.0,1.0,0.0,0.0,0.0
29-Dec-2016,95,CE,0.0,0.0,0.0,44.8,0.0,44.8,46.15,0,0,0,0,7000,25-Nov-2016,0.0958904109589041,0.0,1.0,0.0,0.0,0.0
29-Dec-2016,100,CE,0.0,0.0,0.0,37.85,37.85,37.85,41.45,0,0,49000,0,7000,25-Nov-2016,0.0958904109589041,0.0,1.0,0.0,0.0,0.0
29-Dec-2016,105,CE,0.0,0.0,0.0,36.6,0.0,36.6,36.85,0,0,0,0,7000,25-Nov-2016,0.0958904109589041,0.6365827415240072,0.9449779308388924,0.004023513868936643,-0.05974266413872999,0.048344924334673994
29-Dec-2016,110,CE,0.0,0.0,0.0,32.85,0.0,32.85,32.45,0,0,0,0,7000,25-Nov-2016,0.0958904109589041,0.7314629164279287,0.8873985019350198,0.006016855474127564,-0.10187147292230425,0.08307156933937358
29-Dec-2016,115,CE,0.0,0.0,0.0,29.35,0.0,29.35,28.3,0,0,0,0,7000,25-Nov-2016,0.0958904109589041,0.7821332878431005,0.8329488138765098,0.007363775949515556,-0.1358516126935746,0.10871059133753079
29-Dec-2016,120,CE,0.0,0.0,0.0,19.6,19.6,19.6,24.45,0,0,21000,0,7000,25-Nov-2016,0.0958904109589041,0.0,1.0,0.0,0.0,0.0
29-Dec-2016,125,CE,0.0,0.0,0.0,16.0,16.0,16.0,20.9,0,0,133000,0,7000,25-Nov-2016,0.0958904109589041,0.0,1.0,0.0,0.0,0.0
29-Dec-2016,130,CE,13.25,14.0,13.25,14.0,14.0,12.15,14.0,70000,10058300,126000,21000,7000,25-Nov-2016,0.0958904109589041,0.43075760205582597,0.7522071997464044,0.016900273795902192,-0.09960429304853433,0.13740964358892882
29-Dec-2016,135,CE,9.5,11.6,9.5,10.55,10.6,9.1,10.55,98000,14281750,119000,14000,7000,25-Nov-2016,0.0958904109589041,0.4192647872900804,0.6575678356399637,0.020170280507652,-0.1090363797358049,0.1596213019690108
29-Dec-2016,140,CE,7.35,8.65,6.9,7.8,7.7,6.6,7.8,2338000,345567950,1064000,217000,7000,25-Nov-2016,0.0958904109589041,0.4193758843958033,0.5500226638739998,0.021723475216428,-0.11442468356891089,0.1719583535106494
29-Dec-2016,145,CE,5.5,6.5,5.05,5.65,5.5,4.7,5.65,1638000,246864800,651000,287000,7000,25-Nov-2016,0.0958904109589041,0.42285309466153004,0.44344705661659767,0.02149721543375892,-0.11294473795028437,0.17157825398113377
29-Dec-2016,150,CE,3.85,4.65,3.55,4.0,3.85,3.4,4.0,3486000,537170900,1617000,434000,7000,25-Nov-2016,0.0958904109589041,0.4265333977834138,0.3458512819185147,0.01990057848099671,-0.10494456256382981,0.16021724705642298
29-Dec-2016,155,CE,2.8,3.4,2.55,2.8,2.8,2.4,2.8,574000,90631800,413000,189000,7000,25-Nov-2016,0.0958904109589041,0.43212719719068715,0.26280126026355977,0.01737271140023335,-0.09307558163707452,0.14169996005579047
29-Dec-2016,160,CE,1.8,2.3,1.75,1.95,1.9,1.65,1.95,1281000,207475800,1442000,343000,7000,25-Nov-2016,0.0958904109589041,0.4391675034376848,0.19603963752350606,0.014496987750255827,-0.07959365133113057,0.12017067221128919
29-Dec-2016,165,CE,1.5,1.6,1.2,1.35,1.3,1.05,1.35,259000,43096900,343000,77000,7000,25-Nov-2016,0.0958904109589041,0.44644221719324134,0.14405918858517813,0.011699629920250207,-0.0659779999743326,0.09858887315064861
29-Dec-2016,170,CE,0.95,1.15,0.85,0.95,0.95,0.85,0.95,973000,166362000,826000,259000,7000,25-Nov-2016,0.0958904109589041,0.4561432156536359,0.10600764146771358,0.009239161134103516,-0.05412421171715479,0.07954708750271801
29-Dec-2016,175,CE,0.65,0.7,0.6,0.6,0.6,0.55,0.6,49000,8606850,217000,28000,7000,25-Nov-2016,0.0958904109589041,0.45426768752322827,0.07216613862463438,0.006964328554169758,-0.04031785488822423,0.05971475016189935
29-Dec-2016,180,CE,1.0,1.0,0.4,0.5,0.45,0.4,0.5,616000,111183800,1029000,308000,7000,25-Nov-2016,0.0958904109589041,0.48008244648143505,0.05901876734383088,0.005637954077968451,-0.03631747210535916,0.051089056582422104
29-Dec-2016,185,CE,0.35,0.35,0.3,0.35,0.35,0.45,0.35,196000,36320200,238000,182000,7000,25-Nov-2016,0.0958904109589041,0.4873197720221873,0.042789775200096594,0.004298791141234227,-0.028456834568510836,0.03954129599642474
29-Dec-2016,190,CE,0.2,0.25,0.2,0.2,0.2,0.15,0.2,273000,51925300,259000,182000,7000,25-Nov-2016,0.0958904109589041,0.47842630243706485,0.026560443283110153,0.0029579768456066712,-0.01883617985088595,0.026711626894374944
