FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
24-Dec-2014,140,CE,0,0,0,200.4,0,200.4,83.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,160,CE,0,0,0,170,170,170,63.45,0,0,2500,0,1250,22-Dec-2014
24-Dec-2014,175,CE,0,0,0,51.25,0,51.25,48.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,180,CE,0,0,0,203,203,203,43.45,0,0,2500,0,1250,22-Dec-2014
24-Dec-2014,185,CE,0,0,0,41.3,0,41.3,38.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,190,CE,0,0,0,36.3,0,36.3,33.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,195,CE,0,0,0,31.3,0,31.3,28.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,200,CE,22,24.45,22,24.45,24.45,25.75,24.45,8750,1953562.5,101250,-7500,1250,22-Dec-2014
24-Dec-2014,205,CE,0,0,0,21.45,0,21.45,18.45,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,210,CE,0,0,0,16.75,0,16.75,13.5,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,215,CE,0,0,0,12.4,0,12.4,8.75,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,220,CE,5.4,5.9,3.35,5.15,5.2,6.15,5.15,225000,50525625,426250,0,1250,22-Dec-2014
24-Dec-2014,225,CE,1.95,2.95,1.45,2.35,2.25,3.1,2.35,131250,29812250,52500,45000,1250,22-Dec-2014
24-Dec-2014,230,CE,1.25,1.3,.7,.9,.75,1.75,.9,42500,9814562.5,53750,22500,1250,22-Dec-2014
24-Dec-2014,235,CE,.15,.15,.15,.15,.15,1.35,.15,1250,293937.5,0,-1250,1250,22-Dec-2014
24-Dec-2014,240,CE,.25,.3,.15,.15,.15,.4,.15,73750,17714125,528750,-52500,1250,22-Dec-2014
24-Dec-2014,245,CE,0,0,0,.4,0,.4,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,250,CE,0,0,0,.2,0,.2,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,255,CE,0,0,0,.1,0,.1,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,260,CE,0,0,0,7.45,0,7.45,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,265,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,270,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,22-Dec-2014
24-Dec-2014,275,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,22-Dec-2014
