FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
29-Jan-2015,140,CE,0,0,0,234.25,0,234.25,80.05,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,160,CE,0,0,0,62.25,62.5,62.25,60.2,0,0,2500,0,1250,31-Dec-2014
29-Jan-2015,170,CE,0,0,0,57.9,0,57.9,50.3,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,175,CE,0,0,0,53.1,0,53.1,45.35,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,180,CE,0,0,0,43,43,43,40.45,0,0,1250,0,1250,31-Dec-2014
29-Jan-2015,185,CE,0,0,0,43.75,0,43.75,35.65,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,190,CE,0,0,0,39.3,0,39.3,30.95,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,195,CE,0,0,0,35,0,35,26.4,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,200,CE,24,24,24,24,24,26.7,24,1250,280000,6250,0,1250,31-Dec-2014
29-Jan-2015,205,CE,0,0,0,27.05,0,27.05,18.15,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,210,CE,0,0,0,15.5,15.5,15.5,14.55,0,0,3750,0,1250,31-Dec-2014
29-Jan-2015,215,CE,0,0,0,13.55,13.55,13.55,11.4,0,0,1250,0,1250,31-Dec-2014
29-Jan-2015,220,CE,9.7,10.5,9.1,9.2,9.1,9.3,9.2,186250,42784562.5,158750,18750,1250,31-Dec-2014
29-Jan-2015,225,CE,7.85,7.85,6.95,7,6.95,7.15,7,107500,24965812.5,140000,21250,1250,31-Dec-2014
29-Jan-2015,230,CE,5.95,6,5,5.1,5,5.25,5.1,85000,20012750,177500,16250,1250,31-Dec-2014
29-Jan-2015,235,CE,3.95,4.1,3.65,3.65,3.65,4.1,3.65,26250,6272625,37500,-3750,1250,31-Dec-2014
29-Jan-2015,240,CE,3.05,3.1,2.65,2.75,2.65,2.85,2.75,66250,16095187.5,222500,6250,1250,31-Dec-2014
29-Jan-2015,245,CE,0,0,0,2.1,2.1,2.1,1.6,0,0,10000,0,1250,31-Dec-2014
29-Jan-2015,250,CE,1.5,1.6,1.5,1.5,1.5,1.65,1.5,6250,1572000,30000,5000,1250,31-Dec-2014
29-Jan-2015,255,CE,0,0,0,4.3,0,4.3,.7,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,260,CE,.35,.95,.35,.95,.95,.8,.95,6250,1629000,31250,0,1250,31-Dec-2014
29-Jan-2015,265,CE,0,0,0,.9,.9,.9,.3,0,0,2500,0,1250,31-Dec-2014
29-Jan-2015,270,CE,0,0,0,2.1,0,2.1,.15,0,0,0,0,1250,31-Dec-2014
29-Jan-2015,275,CE,0,0,0,1.6,0,1.6,.1,0,0,0,0,1250,31-Dec-2014
