FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
29-Jan-2015,140,CE,0,0,0,234.25,0,234.25,83.4,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,160,CE,0,0,0,62.25,62.5,62.25,63.55,0,0,2500,0,1250,26-Dec-2014
29-Jan-2015,170,CE,0,0,0,57.9,0,57.9,53.7,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,175,CE,0,0,0,53.1,0,53.1,48.8,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,180,CE,0,0,0,43,43,43,43.95,0,0,1250,0,1250,26-Dec-2014
29-Jan-2015,185,CE,0,0,0,43.75,0,43.75,39.15,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,190,CE,0,0,0,39.3,0,39.3,34.55,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,195,CE,0,0,0,35,0,35,30.05,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,200,CE,19.9,19.9,19.9,19.9,19.9,24.5,19.9,1250,274875,3750,1250,1250,26-Dec-2014
29-Jan-2015,205,CE,0,0,0,27.05,0,27.05,21.85,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,210,CE,16,16,16,16,16,23.45,16,1250,282500,1250,1250,1250,26-Dec-2014
29-Jan-2015,215,CE,0,0,0,13.1,13.1,13.1,14.95,0,0,1250,0,1250,26-Dec-2014
29-Jan-2015,220,CE,12.65,13,9.75,11.6,11.5,10.05,11.6,83750,19420937.5,50000,12500,1250,26-Dec-2014
29-Jan-2015,225,CE,9.4,10.4,7.85,9.1,9.15,8.05,9.1,103750,24322062.5,72500,-2500,1250,26-Dec-2014
29-Jan-2015,230,CE,7,8.25,5.7,7.05,7,6.25,7.05,207500,49218375,111250,47500,1250,26-Dec-2014
29-Jan-2015,235,CE,7.25,7.25,5.25,5.45,5.55,4.75,5.45,20000,4812937.5,21250,7500,1250,26-Dec-2014
29-Jan-2015,240,CE,5,5,3.25,4.05,4,3.55,4.05,158750,38756125,170000,0,1250,26-Dec-2014
29-Jan-2015,245,CE,0,0,0,3.25,3.25,3.25,3.2,0,0,7500,0,1250,26-Dec-2014
29-Jan-2015,250,CE,1.75,2.5,1.75,2.35,2.35,1.9,2.35,35000,8828750,22500,13750,1250,26-Dec-2014
29-Jan-2015,255,CE,0,0,0,4.3,0,4.3,1.7,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,260,CE,.5,1.4,.5,1,1,.1,1,13750,3590375,13750,7500,1250,26-Dec-2014
29-Jan-2015,265,CE,.8,.9,.8,.9,.9,2.7,.9,2500,664625,2500,2500,1250,26-Dec-2014
29-Jan-2015,270,CE,0,0,0,2.1,0,2.1,.6,0,0,0,0,1250,26-Dec-2014
29-Jan-2015,275,CE,0,0,0,1.6,0,1.6,.4,0,0,0,0,1250,26-Dec-2014
