FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
24-Dec-2014,140,CE,0,0,0,200.4,0,200.4,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,160,CE,62,62,62,62,62,170,0,2500,555000,2500,0,1250,24-Dec-2014
24-Dec-2014,175,CE,0,0,0,51.25,0,51.25,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,180,CE,41,41,41,41,41,203,0,1250,276250,2500,0,1250,24-Dec-2014
24-Dec-2014,185,CE,0,0,0,41.3,0,41.3,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,190,CE,0,0,0,36.3,0,36.3,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,195,CE,0,0,0,31.3,0,31.3,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,200,CE,21.6,23.25,20.1,20.2,20.25,22.75,0,27500,6097625,95000,-5000,1250,24-Dec-2014
24-Dec-2014,205,CE,0,0,0,21.45,0,21.45,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,210,CE,0,0,0,16.75,0,16.75,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,215,CE,0,0,0,12.4,0,12.4,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,220,CE,3.35,4.1,.05,.35,.05,3.75,0,398750,88220125,291250,-126250,1250,24-Dec-2014
24-Dec-2014,225,CE,.55,.6,.05,.05,.05,1,0,32500,7322437.5,65000,1250,1250,24-Dec-2014
24-Dec-2014,230,CE,.1,.1,.05,.05,.05,.15,0,3750,862750,47500,0,1250,24-Dec-2014
24-Dec-2014,235,CE,0,0,0,.05,.05,.05,0,0,0,12500,0,1250,24-Dec-2014
24-Dec-2014,240,CE,.1,.25,.05,.05,.05,.05,0,10000,2401187.5,466250,1250,1250,24-Dec-2014
24-Dec-2014,245,CE,0,0,0,.4,0,.4,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,250,CE,0,0,0,.2,0,.2,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,255,CE,0,0,0,.1,0,.1,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,260,CE,0,0,0,7.45,0,7.45,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,265,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,270,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,24-Dec-2014
24-Dec-2014,275,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,24-Dec-2014
