FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
29-Jan-2015,140,CE,0,0,0,234.25,0,234.25,80.55,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,160,CE,0,0,0,62.25,62.5,62.25,60.7,0,0,2500,0,1250,29-Dec-2014
29-Jan-2015,170,CE,0,0,0,57.9,0,57.9,50.8,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,175,CE,0,0,0,53.1,0,53.1,45.9,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,180,CE,0,0,0,43,43,43,41.05,0,0,1250,0,1250,29-Dec-2014
29-Jan-2015,185,CE,0,0,0,43.75,0,43.75,36.3,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,190,CE,0,0,0,39.3,0,39.3,31.65,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,195,CE,0,0,0,35,0,35,27.2,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,200,CE,21.9,21.9,21.9,21.9,21.9,19.9,21.9,2500,554750,6250,2500,1250,29-Dec-2014
29-Jan-2015,205,CE,0,0,0,27.05,0,27.05,19.15,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,210,CE,15.5,15.5,15.5,15.5,15.5,16,15.5,2500,563750,3750,2500,1250,29-Dec-2014
29-Jan-2015,215,CE,13.55,13.55,13.55,13.55,13.55,13.1,13.55,1250,285687.5,1250,0,1250,29-Dec-2014
29-Jan-2015,220,CE,12,12.3,9.55,9.75,9.8,11.6,9.75,67500,15572625,77500,27500,1250,29-Dec-2014
29-Jan-2015,225,CE,10,10,7.2,7.45,7.2,9.1,7.45,66250,15448875,92500,20000,1250,29-Dec-2014
29-Jan-2015,230,CE,7.3,7.3,5.55,5.65,5.7,7.05,5.65,130000,30741000,133750,22500,1250,29-Dec-2014
29-Jan-2015,235,CE,5.2,5.2,4.1,4.2,4.1,5.45,4.2,10000,2396875,26250,5000,1250,29-Dec-2014
29-Jan-2015,240,CE,4.15,4.2,3,3.1,3.05,4.05,3.1,105000,25578187.5,196250,26250,1250,29-Dec-2014
29-Jan-2015,245,CE,3.2,3.2,2.25,2.25,2.25,3.25,2.25,7500,1858312.5,10000,2500,1250,29-Dec-2014
29-Jan-2015,250,CE,2.4,2.4,1.15,1.55,1.15,2.35,1.55,33750,8502312.5,26250,3750,1250,29-Dec-2014
29-Jan-2015,255,CE,0,0,0,4.3,0,4.3,1.05,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,260,CE,1.1,1.25,.85,.85,.85,1,.85,25000,6527187.5,31250,17500,1250,29-Dec-2014
29-Jan-2015,265,CE,0,0,0,.9,.9,.9,.5,0,0,2500,0,1250,29-Dec-2014
29-Jan-2015,270,CE,0,0,0,2.1,0,2.1,.3,0,0,0,0,1250,29-Dec-2014
29-Jan-2015,275,CE,0,0,0,1.6,0,1.6,.2,0,0,0,0,1250,29-Dec-2014
