FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
25-Apr-2024,CE,105.0,0.0,20.7,20.7,8000,0.0,208000,20.7,27.85,09-Apr-2024,0,0.0,0.0,0.0,0.04657534246575343,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,110.0,0.0,22.2,22.2,8000,23.3,736000,24.4,22.95,09-Apr-2024,16000,2124000.0,23.3,22.2,0.04657534246575343,0.0,1.0,0.0,0.0,0.0
25-Apr-2024,CE,115.0,-80000.0,17.95,17.95,8000,19.15,696000,17.85,18.2,09-Apr-2024,120000,16059600.0,20.0,17.0,0.04657534246575343,0.3659450221194014,0.9691514993875975,0.006654303240288937,-0.03958926760593636,0.019911603950470664
25-Apr-2024,CE,120.0,-168000.0,13.65,13.55,8000,14.7,2512000,14.1,13.65,09-Apr-2024,696000,93600000.0,15.65,12.35,0.04657534246575343,0.4317725655035561,0.8728549516104869,0.016871786505369975,-0.09241263281030694,0.05956675321953922
25-Apr-2024,CE,125.0,-56000.0,9.4,9.45,8000,10.35,2856000,10.05,9.4,09-Apr-2024,872000,117589200.0,11.15,8.55,0.04657534246575343,0.3984357372814149,0.7743156973443108,0.026368727921801303,-0.11599340587845505,0.08590833018431215
25-Apr-2024,CE,130.0,-408000.0,6.0,5.95,8000,7.05,10160000,6.6,6.0,09-Apr-2024,8960000,1221716800.0,7.6,5.25,0.04657534246575343,0.39198778478270857,0.618101327713102,0.03402008859105614,-0.13819212057794578,0.10904249683260367
25-Apr-2024,CE,135.0,5944000.0,3.6,3.55,8000,4.25,20392000,4.1,3.6,09-Apr-2024,41968000,5835540000.0,4.85,3.15,0.04657534246575343,0.39872975183288906,0.4436503880874157,0.034639864060425504,-0.14151836080801897,0.1129386611214663
25-Apr-2024,CE,140.0,720000.0,2.05,2.05,8000,2.5,25200000,2.45,2.05,09-Apr-2024,30096000,4282444400.0,2.9,1.8,0.04657534246575343,0.4090076470931275,0.2918538283665011,0.02935485951655833,-0.12412033604449685,0.09817462424970348
25-Apr-2024,CE,145.0,-152000.0,1.1,1.15,8000,1.4,10600000,1.4,1.1,09-Apr-2024,15528000,2270985200.0,1.65,1.0,0.04657534246575343,0.41748985535290245,0.17761216708507105,0.021795814650611877,-0.09505145436517981,0.07440580958829413
25-Apr-2024,CE,150.0,-464000.0,0.65,0.65,8000,0.85,11168000,0.85,0.65,09-Apr-2024,24584000,3705440400.0,0.95,0.55,0.04657534246575343,0.44212769310786715,0.11064320032305658,0.014935305946117146,-0.07251620035428588,0.05399451632009461
25-Apr-2024,CE,155.0,144000.0,0.4,0.35,8000,0.5,5152000,0.5,0.4,09-Apr-2024,6568000,1020995600.0,0.6,0.35,0.04657534246575343,0.4681381168776846,0.07020670964611138,0.010052855248369436,-0.05444760054170077,0.03848143390466118
