FH_EXPIRY_DT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,Time_to_Expiry,Implied_Volatility,Delta,Gamma,Theta,Vega
28-Mar-2024,CE,85.0,8000.0,36.95,36.95,8000,36.95,24000,42.0,35.85,14-Mar-2024,8000,975600.0,36.95,36.95,0.0410958904109589,1.2937952078864703,0.9300171680905968,0.004242269148582176,-0.153970237048043,0.03283347154616715
28-Mar-2024,CE,90.0,256000.0,31.0,31.0,8000,31.35,416000,31.45,30.9,14-Mar-2024,264000,32160800.0,32.7,31.0,0.0410958904109589,0.7272320922188418,0.9811662621628403,0.0025866630231848424,-0.04164178531221613,0.011252938299865735
28-Mar-2024,CE,95.0,0.0,29.8,29.8,8000,0.0,32000,29.8,25.9,14-Mar-2024,0,0.0,0.0,0.0,0.0410958904109589,1.498996500813,0.8280806977945656,0.0069519164090508095,-0.3230099038728369,0.06233876692580665
28-Mar-2024,CE,100.0,-8000.0,21.95,21.95,8000,21.95,504000,19.2,20.9,14-Mar-2024,8000,975600.0,21.95,21.95,0.0410958904109589,0.800169557005288,0.8950034586532568,0.00929095325995065,-0.13276178150897638,0.0444728894254959
28-Mar-2024,CE,105.0,24000.0,16.5,16.5,8000,17.5,264000,14.65,16.0,14-Mar-2024,32000,3898400.0,17.5,16.4,0.0410958904109589,0.5454720335730863,0.9088995086284092,0.012282316865981188,-0.08818515554768505,0.040077980866742864
28-Mar-2024,CE,110.0,-32000.0,12.1,11.95,8000,9.25,5040000,10.65,12.1,14-Mar-2024,1560000,188767200.0,13.2,8.55,0.0410958904109589,0.5138587994613008,0.8321999719480627,0.01996677390559926,-0.11964602939628201,0.06137687113195412
28-Mar-2024,CE,115.0,-56000.0,7.95,7.7,8000,5.25,1800000,6.7,7.95,14-Mar-2024,7760000,949728400.0,9.1,5.2,0.0410958904109589,0.4579012000687044,0.7222900720439704,0.02993714448311361,-0.13818405494832656,0.08200403119399632
28-Mar-2024,CE,120.0,648000.0,4.5,4.5,8000,3.25,11712000,3.85,4.5,14-Mar-2024,38368000,4772011600.0,5.7,2.8,0.0410958904109589,0.4126561150455688,0.5540413847786525,0.03916391210235223,-0.14323098908096596,0.09667794256423559
28-Mar-2024,CE,125.0,1152000.0,2.45,2.4,8000,2.05,12824000,2.2,2.45,14-Mar-2024,30536000,3893942000.0,3.15,1.55,0.0410958904109589,0.41973990813055634,0.3651447793498093,0.03661813433398127,-0.13548283450559598,0.09194529780138117
28-Mar-2024,CE,130.0,392000.0,1.4,1.35,8000,1.25,30480000,1.35,1.4,14-Mar-2024,27272000,3583834400.0,1.75,0.95,0.0410958904109589,0.45104812473901207,0.2285527329474359,0.027427365838060144,-0.11556851093911812,0.07400482364159372
28-Mar-2024,CE,135.0,-480000.0,0.85,0.8,8000,0.8,14528000,0.85,0.85,14-Mar-2024,13448000,1826988000.0,1.05,0.6,0.0410958904109589,0.48874637883126676,0.14461163414214956,0.0190323730147458,-0.09338335461853245,0.05564543484798934
28-Mar-2024,CE,140.0,-408000.0,0.6,0.6,8000,0.6,20048000,0.65,0.6,14-Mar-2024,8912000,1252939600.0,0.7,0.45,0.0410958904109589,0.5404711517648284,0.10021243153537379,0.013296790056092024,-0.07933926619608592,0.04299048817711308
28-Mar-2024,CE,145.0,496000.0,0.35,0.35,8000,0.35,6952000,0.4,0.35,14-Mar-2024,5064000,736114400.0,0.4,0.3,0.0410958904109589,0.559981316512805,0.06166232779686405,0.008885384315558626,-0.05672449196884779,0.029764788519955333
