FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP
24-Dec-2014,140,CE,0,0,0,200.4,0,200.4,84.25,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,160,CE,0,0,0,170,170,170,64.25,0,0,2500,0,1250,19-Dec-2014
24-Dec-2014,175,CE,0,0,0,51.25,0,51.25,49.25,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,180,CE,0,0,0,203,203,203,44.3,0,0,2500,0,1250,19-Dec-2014
24-Dec-2014,185,CE,0,0,0,41.3,0,41.3,39.3,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,190,CE,0,0,0,36.3,0,36.3,34.3,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,195,CE,0,0,0,31.3,0,31.3,29.3,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,200,CE,27.15,27.3,25.75,25.75,25.75,25.3,25.75,3750,850250,108750,-2500,1250,19-Dec-2014
24-Dec-2014,205,CE,0,0,0,21.45,0,21.45,19.45,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,210,CE,0,0,0,16.75,0,16.75,14.7,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,215,CE,0,0,0,12.4,0,12.4,10.4,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,220,CE,10.45,10.45,5.3,6.15,6.15,8.1,6.15,278750,63562250,426250,-90000,1250,19-Dec-2014
24-Dec-2014,225,CE,3.4,3.4,2.95,3.1,2.95,5.55,3.1,7500,1710562.5,7500,7500,1250,19-Dec-2014
24-Dec-2014,230,CE,3.4,3.5,1.45,1.75,1.5,3.3,1.75,51250,11923687.5,31250,31250,1250,19-Dec-2014
24-Dec-2014,235,CE,1.35,1.35,1.35,1.35,1.35,1.8,1.35,1250,295437.5,1250,1250,1250,19-Dec-2014
24-Dec-2014,240,CE,1.2,1.2,.3,.4,.35,.75,.4,201250,48434687.5,581250,-82500,1250,19-Dec-2014
24-Dec-2014,245,CE,0,0,0,.4,0,.4,.15,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,250,CE,0,0,0,.2,0,.2,.05,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,255,CE,0,0,0,.1,0,.1,.05,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,260,CE,0,0,0,7.45,0,7.45,0,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,265,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,270,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,19-Dec-2014
24-Dec-2014,275,CE,0,0,0,.05,0,.05,0,0,0,0,0,1250,19-Dec-2014
